"Rank","Program id","HLO op category","HLO op name","HLO op text","Framework op name","#Occurrences","Total time (us)","Avg. time (us)","Total self time (us)","Avg. self time (us)","Total self time (%)","Cumulative total self time (%)","%time stalled by DMA","Model GFLOP/s","Normalized GFLOP/s","Measured memory BW (GiB/s)","HBM BW (GiB/s)","CMEM Read BW (GiB/s)","CMEM Write BW (GiB/s)","Operational intensity (FLOPS/Byte)","Bound by","Rematerialization","Outside Compilation","Autotuned","Source Info"
"338.0","29","loop fusion","loop_select_fusion.31","%loop_select_fusion.31 = (s32[8]{0}, s32[8]{0}) fusion(s32[8]{0} %get-tuple-element.6955, s32[8]{0} %get-tuple-element.6954, f64[512]{0} %get-tuple-element.6961, f64[8]{0} %get-tuple-element.6962), kind=kLoop, calls=%fused_select.31","jit(evolve_background)/jit(main)/jit(<lambda>)/jit(searchsorted)/vmap(while)/body/jit(_where)/select_n:","10.0","9.92","0.992","9.92","0.992","0.0002666957902771194","34.913526484371985","0.0","0.7741935483870968","0.7741935483870968","0.24034130957818797","0.24034130957818797","0.0","0.0","3.0","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:171:20
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:233:12
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"339.0","29","loop fusion","loop_select_fusion.32","%loop_select_fusion.32 = (s32[16]{0}, s32[16]{0}) fusion(s32[16]{0} %get-tuple-element.6940, s32[16]{0} %get-tuple-element.6939, f64[512]{0} %get-tuple-element.6946, f64[16]{0} %get-tuple-element.6947), kind=kLoop, calls=%fused_select.32","jit(evolve_background)/jit(main)/jit(<lambda>)/jit(searchsorted)/vmap(while)/body/jit(_where)/select_n:","10.0","9.92","0.992","9.92","0.992","0.0002666957902771194","34.913793180162266","0.0","1.5483870967741935","1.5483870967741935","0.48068261915637595","0.48068261915637595","0.0","0.0","3.0","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:171:20
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:233:12
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"340.0","29","loop fusion","loop_select_fusion.29","%loop_select_fusion.29 = (s32[2]{0}, s32[2]{0}) fusion(s32[2]{0} %get-tuple-element.7021, s32[2]{0} %get-tuple-element.7020, f64[512]{0} %get-tuple-element.7027, f64[2]{0} %get-tuple-element.7028), kind=kLoop, calls=%fused_select.29","jit(evolve_background)/jit(main)/jit(<lambda>)/jit(searchsorted)/vmap(while)/body/jit(_where)/select_n:","10.0","9.857","0.9856999999999999","9.857","0.9856999999999999","0.0002650020569316095","34.9140581822192","0.0","0.1947854316729228","0.1947854316729228","0.06046935657440461","0.06046935657440461","0.0","0.0","3.0","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:171:20
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:233:12
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"341.0","29","loop fusion","loop_select_fusion.18","%loop_select_fusion.18 = (s32[], s32[]) fusion(s32[] %get-tuple-element.6996, f64[512]{0} %get-tuple-element.7001, s32[] %get-tuple-element.6995), kind=kLoop, calls=%fused_select.18","jit(evolve_background)/jit(main)/jit(searchsorted)/while/body/jit(_where)/select_n:","10.0","9.472","0.9471999999999999","9.472","0.9471999999999999","0.00025465146426460435","34.91431283368346","0.0","0.07601351351351351","0.07601351351351351","0.023597700370324624","0.023597700370324624","0.0","0.0","3.0","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:171:20
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:233:12
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"342.0","29","loop fusion","loop_select_fusion.19","%loop_select_fusion.19 = (s32[], s32[]) fusion(s32[] %get-tuple-element.6984, f64[512]{0} %get-tuple-element.6989, s32[] %get-tuple-element.6983), kind=kLoop, calls=%fused_select.19","jit(evolve_background)/jit(main)/jit(searchsorted)/while/body/jit(_where)/select_n:","10.0","9.472","0.9471999999999999","9.472","0.9471999999999999","0.00025465146426460435","34.91456748514773","0.0","0.07601351351351351","0.07601351351351351","0.023597700370324624","0.023597700370324624","0.0","0.0","3.0","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:171:20
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:233:12
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"343.0","29","loop fusion","loop_select_fusion.17","%loop_select_fusion.17 = (s32[], s32[]) fusion(s32[] %get-tuple-element.7008, f64[512]{0} %get-tuple-element.7013, s32[] %get-tuple-element.7007), kind=kLoop, calls=%fused_select.17","jit(evolve_background)/jit(main)/jit(searchsorted)/while/body/jit(_where)/select_n:","10.0","9.44","0.944","9.44","0.944","0.00025379115526371043","34.914821276302995","0.0","0.07627118644067797","0.07627118644067797","0.023677692574969794","0.023677692574969794","0.0","0.0","3.0","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:171:20
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:233:12
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"344.0","29","data formatting","copy.629","%copy.629 = s32[1024]{0} copy(s32[1024]{0} %get-tuple-element.7427)","","11.0","9.28","0.8436363636363636","9.28","0.8436363636363636","0.00024948961025924075","34.915070765913256","0.0","0.0","0.0","9.04346334523168","9.04346334523168","0.0","0.0","0.0","HBM","No","No","No",""
"345.0","29","data formatting","copy.630","%copy.630 = s32[1024]{0} copy(s32[1024]{0} %get-tuple-element.7428)","","11.0","9.248","0.8407272727272727","9.248","0.8407272727272727","0.00024862930125834677","34.91531939521451","0.0","0.0","0.0","9.074755605941824","9.074755605941824","0.0","0.0","0.0","HBM","No","No","No",""
"346.0","29","call","call.290","%call.290 = (s64[], s64[], s64[], f64[512]{0}, f64[], /*index=5*/f64[8,8]{1,0}) call(s64[] %get-tuple-element.8086, f64[] %Arg_7.8, f64[] %Arg_11.12, f64[8]{0} %constant_6695_0, f64[8]{0} %constant_6694_0, /*index=5*/s64[8]{0} %constant_109_0), to_apply=%command_buffer.2","","6.0","9.216","1.5359999999999998","9.216","1.5359999999999998","0.00024776899225745284","34.91556716420677","0.0","2027.7890625","2027.7890625","2.9831426218152046","32.40226457516352","0.0","0.0","633.0658536585366","HBM","No","No","No",""
"347.0","29","loop fusion","loop_divide_pad_select_fusion","%loop_divide_pad_select_fusion = (f64[1024]{0}, f64[1024]{0}, f64[1024]{0}, f64[1024]{0}, f64[1024]{0}, /*index=5*/f64[1024]{0}, f64[1024]{0}) fusion(f64[1022]{0} %get-tuple-element.12620.0, f64[1024]{0} %get-tuple-element.7707, f64[1024]{0} %get-tuple-element.7818, f64[1022]{0} %get-tuple-element.13650.0, f64[1024]{0} %get-tuple-element.7812, /*index=5*/f64[1022]{0} %get-tuple-element.13306.0, f64[1024]{0} %get-tuple-element.7819, f64[1022]{0} %get-tuple-element.12277.0, f64[1022]{0} %get-tuple-element.11582.0, f64[1024]{0} %get-tuple-element.7788, /*index=10*/f64[1024]{0} %get-tuple-element.7787, f64[1025]{0} %get-tuple-element.8120, f64[] %Arg_1.2, f64[] %Arg_4.5, f64[1024]{0} %input_concatenate_fusion.14, /*index=15*/s32[1024]{0} %get-tuple-element.7885, f64[1024]{0} %input_concatenate_fusion.8, s32[1024]{0} %get-tuple-element.7888, s32[1024]{0} %get-tuple-element.600.0, f64[] %Arg_8.9, /*index=20*/f64[1024]{0} %input_concatenate_fusion.13, s32[] %get-tuple-element.597.0, f64[1]{0} %get-tuple-element.6218, f64[1024]{0} %get-tuple-element.8246), kind=kLoop, calls=%fused_divide_pad_select","","1.0","9.216","9.216","9.216","9.216","0.00024776899225745284","34.91581493319902","0.0","4781.095486111111","4781.095486111111","19.45146424178448","19.45146424178448","0.0","0.0","228.91552544627086","HBM","No","No","No",""
