"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"183.0","loop_add_fusion_63","30.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/add:","1.0","1.28","1.28","1.28","1.28"
"184.0","loop_divide_multiply_fusion_1","25.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","1.28","1.28","1.28","1.28"
"185.0","loop_dynamic_slice_slice_fusion","80.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","1.28","1.28","1.28","1.28"
"186.0","loop_concatenate_fusion_5","24.0","0.0","128,1,1","4,1,1","100.0","False","False","","1.0","1.248","1.248","1.248","1.248"
"187.0","void colperm_kernel<double, double, 5, 4>(long, long, double const*, unsigned long, int const*, double*, unsigned long)","16.0","64.0","32,16,1","1,1,1","100.0","False","False","jit(evolve_background)/jit(main)/vmap(jit(eigh))/eigh:","1.0","1.184","1.184","1.184","1.184"
"188.0","input_concatenate_fusion_10","16.0","0.0","128,1,1","4,1,1","100.0","False","False","","1.0","1.152","1.152","1.152","1.152"
"189.0","loop_log_fusion_10","20.0","0.0","16,1,1","1,1,1","25.0","False","False","","1.0","1.152","1.152","1.152","1.152"
"190.0","loop_divide_fusion_32","23.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","1.12","1.12","1.12","1.12"
"191.0","loop_log_fusion_7","20.0","0.0","2,1,1","1,1,1","3.125","False","False","","1.0","1.12","1.12","1.12","1.12"
"192.0","loop_log_fusion_8","20.0","0.0","4,1,1","1,1,1","6.25","False","False","","1.0","1.12","1.12","1.12","1.12"
"193.0","loop_log_fusion_9","20.0","0.0","8,1,1","1,1,1","12.5","False","False","","1.0","1.12","1.12","1.12","1.12"
"194.0","void batch_symmetrize_kernel<double, 5, 3>(int, double*, unsigned long, long long, int, int)","38.0","8448.0","32,8,1","1,1,1","100.0","False","False","jit(evolve_background)/jit(main)/vmap(jit(eigh))/eigh:","1.0","1.12","1.12","1.12","1.12"
"195.0","void lascl_kernel<double, double, 8>(long, long, double*, unsigned long, double, int, int)","21.0","0.0","256,1,1","8,1,1","100.0","False","False","jit(evolve_background)/jit(main)/vmap(jit(eigh))/eigh:","1.0","1.12","1.12","1.12","1.12"
"196.0","input_concatenate_fusion_12","16.0","0.0","128,1,1","4,1,1","100.0","False","False","","1.0","1.088","1.088","1.088","1.088"
"197.0","loop_divide_fusion_30","23.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","1.088","1.088","1.088","1.088"
"198.0","loop_divide_fusion_33","23.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","1.056","1.056","1.056","1.056"
"199.0","input_concatenate_fusion_8","16.0","0.0","128,1,1","8,1,1","100.0","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/concatenate:","1.0","1.024","1.024","1.024","1.024"
"200.0","void scal_kernel_val<double, double>(cublasScalParamsVal<double, double>)","24.0","0.0","384,1,1","1,1,1","100.0","False","False","jit(evolve_background)/jit(main)/vmap(jit(eigh))/eigh:","1.0","0.992","0.992","0.992","0.992"
"201.0","loop_concatenate_fusion_4","24.0","0.0","128,1,1","8,1,1","100.0","False","False","","1.0","0.96","0.96","0.96","0.96"
"202.0","loop_multiply_fusion_9","22.0","0.0","64,1,1","1,1,1","100.0","False","False","","1.0","0.96","0.96","0.96","0.96"
"203.0","wrapped_slice_6","16.0","0.0","128,1,1","8,1,1","100.0","False","False","","1.0","0.96","0.96","0.96","0.96"
"204.0","copy_fusion_7","16.0","0.0","7,1,1","1,1,1","10.9375","False","False","","1.0","0.928","0.928","0.928","0.928"
"205.0","void batch_eye_kernel<double, 5, 3>(long, long, double*, unsigned long, long long, int)","28.0","0.0","32,8,1","1,1,1","100.0","False","False","jit(evolve_background)/jit(main)/vmap(jit(eigh))/eigh:","1.0","0.928","0.928","0.928","0.928"
"206.0","void syevj_diagonal_kernel<double, double, 256>(long, double const*, long, double*)","16.0","0.0","256,1,1","1,1,1","100.0","False","False","jit(evolve_background)/jit(main)/vmap(jit(eigh))/eigh:","1.0","0.928","0.928","0.928","0.928"
