"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"63.0","loop_select_fusion_14","16.0","0.0","32,1,1","1,1,1","50.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(<lambda>)/jit(searchsorted)/vmap()/while/body/closed_call/jit(_where)/select_n:","10250.0","10344.614","1.009","0.991","1.056"
"64.0","loop_select_fusion_13","16.0","0.0","16,1,1","1,1,1","25.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(<lambda>)/jit(searchsorted)/vmap()/while/body/closed_call/jit(_where)/select_n:","10230.0","10301.514","1.006","0.991","1.056"
"65.0","loop_select_fusion_12","16.0","0.0","8,1,1","1,1,1","12.5","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(<lambda>)/jit(searchsorted)/vmap()/while/body/closed_call/jit(_where)/select_n:","10230.0","10290.322","1.005","0.991","1.057"
"66.0","loop_select_fusion_11","16.0","0.0","4,1,1","1,1,1","6.25","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(<lambda>)/jit(searchsorted)/vmap()/while/body/closed_call/jit(_where)/select_n:","10230.0","10286.4","1.005","0.991","1.056"
"67.0","loop_select_fusion_10","16.0","0.0","2,1,1","1,1,1","3.125","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(<lambda>)/jit(searchsorted)/vmap()/while/body/closed_call/jit(_where)/select_n:","10230.0","10269.352","1.003","0.96","1.057"
"68.0","loop_add_fusion_4","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/inner-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/add:","7131.0","10083.911","1.414","0.928","2.624"
"69.0","loop_select_fusion_6","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/while/body/closed_call/jit(_where)/select_n:","10240.0","9781.483","0.955","0.927","1.568"
"70.0","loop_dynamic_update_slice_fusion_175","38.0","0.0","128,1,1","4,1,1","100.0","False","False","XlaModule","2315.0","9432.481","4.074","2.624","19.392"
"71.0","input_scatter_fusion_24","18.0","0.0","128,1,1","576,1,1","100.0","False","False","XlaModule","463.0","9344.518","20.182","18.144","22.464"
"72.0","input_scatter_fusion","29.0","0.0","128,1,1","288,1,1","100.0","False","False","XlaModule","2128.0","9145.357","4.297","2.784","6.112"
"73.0","loop_add_divide_exponential_multiply_power_slice_sqrt_subtract_fusion","116.0","0.0","128,1,1","4,1,1","33.33330154418945","False","False","XlaModule","463.0","9145.047","19.751","19.264","20.16"
"74.0","void trsm_batch_left_lower_kernel<double>(cublasTrsmBatchParams<double>, double const* const*, double* const*, double const*, double)","48.0","4608.0","32,8,1","64,1,1","83.33329772949219","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","3704.0","8946.007","2.415","2.336","2.56"
"75.0","loop_add_multiply_fusion","58.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","1023.0","8752.01","8.555","8.511","8.768"
"76.0","loop_add_multiply_select_subtract_fusion_3","78.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jvp()/mul:","2122.0","8624.049","4.064","4.031","4.097"
"77.0","loop_add_multiply_fusion_2","45.0","0.0","3,1,1","1,1,1","4.6875","False","False","XlaModule","2220.0","8102.039","3.649","3.615","3.904"
"78.0","loop_dynamic_update_slice_fusion_180","48.0","0.0","128,1,1","4,1,1","83.33329772949219","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap()/scatter:","1852.0","7871.46","4.25","3.519","4.641"
"79.0","loop_add_divide_multiply_sqrt_fusion_6","64.0","0.0","128,1,1","4,1,1","66.66670227050781","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap()/div:","463.0","7630.304","16.48","12.256","17.377"
"80.0","void getrf_pivot<getrf_params_<double, 32, 1, 32, 32, 1> >(int, int, int, void*, int, long*, int, getrf_params_<double, 32, 1, 32, 32, 1>::data_type*, unsigned int*, unsigned int*, getrf_params_<double, 32, 1, 32, 32, 1>::data_type*, unsigned int, unsigned int, unsigned int, int*)","20.0","408.0","32,1,1","3,1,1","50.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_factor)/lu:","2122.0","7451.35","3.511","3.487","3.521"
"81.0","loop_gather_fusion_6","16.0","0.0","128,1,1","288,1,1","100.0","False","False","XlaModule","2128.0","7367.865","3.462","2.336","5.472"
"82.0","loop_add_divide_multiply_sqrt_fusion_5","72.0","0.0","128,1,1","4,1,1","58.33330154418945","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap()/div:","463.0","7365.189","15.907","11.68","16.769"
"83.0","loop_and_fusion_5","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/inner-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/and:","7600.0","7262.61","0.955","0.896","1.248"
"84.0","loop_and_fusion_5","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/inner-loop/while/body/closed_call/checkpoint/and:","7393.0","7120.103","0.963","0.927","1.248"
"85.0","loop_and_fusion_5","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/inner-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/and:","7131.0","6874.039","0.963","0.927","1.248"
"86.0","dtrsv_init_up(int*, int)","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_solve)/jit(_lu_solve)/triangular_solve:","8488.0","6307.864","0.743","0.704","0.769"
"87.0","dtrsv_init(int*)","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_solve)/jit(_lu_solve)/triangular_solve:","8488.0","6257.901","0.737","0.703","0.769"
"88.0","loop_multiply_fusion_34","24.0","0.0","3,1,1","1,1,1","4.6875","False","False","XlaModule","4167.0","6222.545","1.493","1.439","1.92"
"89.0","loop_divide_fusion_33","34.0","0.0","128,1,1","324,1,1","100.0","False","False","XlaModule","463.0","6132.79","13.245","13.184","13.313"
"90.0","loop_divide_fusion_31","20.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","6660.0","6011.843","0.902","0.863","1.088"
"91.0","loop_minimum_select_fusion_1","34.0","0.0","32,1,1","1,1,1","50.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(_where)/select_n:","2122.0","5917.394","2.788","2.752","2.817"
"92.0","loop_compare_multiply_fusion_1","29.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","2220.0","5876.836","2.647","2.623","2.784"
"93.0","loop_gather_fusion_5","40.0","0.0","3,1,1","1,1,1","4.6875","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_solve)/jit(_lu_solve)/gather:","2122.0","5771.643","2.719","2.624","2.913"
"94.0","loop_divide_fusion_18","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","6660.0","5685.702","0.853","0.831","1.024"
"95.0","input_scatter_fusion_13","18.0","0.0","128,1,1","792,1,1","100.0","False","False","XlaModule","463.0","5577.263","12.045","11.424","13.056"
"96.0","input_scatter_fusion_3","18.0","0.0","128,1,1","576,1,1","100.0","False","False","XlaModule","463.0","5146.656","11.115","9.184","13.088"
"97.0","input_transpose_fusion_12","56.0","8448.0","128,1,1","48,1,1","75.0","False","False","XlaModule","463.0","4720.612","10.195","7.04","10.464"
"98.0","loop_gather_fusion_8","34.0","0.0","128,1,1","288,1,1","100.0","False","False","XlaModule","463.0","4630.178","10.0","6.847","11.104"
"99.0","loop_multiply_fusion_12","30.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jvp()/mul:","4244.0","4508.887","1.062","0.992","1.121"
"100.0","loop_multiply_fusion_14","27.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","2220.0","4453.196","2.005","1.983","2.08"
"101.0","loop_multiply_fusion_15","27.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","2220.0","4441.092","2.0","1.983","2.208"
"102.0","loop_multiply_fusion_13","27.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","2220.0","4440.232","2.0","1.983","2.048"
