"Rank","Host/device","Operation Type","Operation Name","#Occurrences","Total time (us)","Avg. time (us)","Total self-time (us)","Avg. self-time (us)","Total self-time on Device (%)","Cumulative total-self time on Device (%)","Total self-time on Host (%)","Cumulative total-self time on Host (%)","Normalized FLOP Rate (FLOPs/s)","Model FLOP Rate (GFLOP/s)","Measured Memory BW (GBytes/Sec)","Operational Intensity (FLOPs/Byte)","GPU TensorCore utilization","Bound by","Execution mode"
"22.0","Device","Unknown","call.606","10566.0","20392.207","1.929983626727238","20392.207","1.929983626727238","0.0026494035363404684","0.9457662683025515","0.0","0.0","12097.174129705529","12097.174129705529","466.5763009874875","24.146900158032782","0.0","HBM","Function"
"23.0","Device","fft","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_theta_ell)/jit(fft)/fft","2.0","18882.704","9441.352","18882.704","9441.352","0.002453285353236671","0.9482195536557881","0.0","0.0","1592.1856886598446","1592.1856886598446","211.84699715808708","6.9995727799816905","0.0","HBM","Function"
"24.0","Device","select_n","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/while/body/jit(_where)/select_n","1024.0","15489.568","15.12653125","15489.568","15.12653125","0.002012441136733565","0.9502319947925217","0.0","0.0","0.035203047625343716","0.035203047625343716","0.031523232281235984","1.0400390625","0.0","HBM","Function"
"25.0","Device","Unknown","call.613","4696.0","15099.066","3.2153036626916527","15099.066","3.2153036626916527","0.0019617061976586513","0.9521937009901804","0.0","0.0","6436.6175550196285","6436.6175550196285","240.6530388688616","24.909584609162863","0.0","HBM","Function"
"26.0","Device","Unknown","call.628","5194.0","15073.327","2.9020652676164804","15073.327","2.9020652676164804","0.0019583621261894933","0.9541520631163699","0.0","0.0","358.68490333952155","358.68490333952155","2.32793315562105","143.4969671905156","0.0","HBM","Function"
"27.0","Device","Unknown","call.611","4696.0","15041.405","3.2030249148211243","15041.405","3.2030249148211243","0.001954214744805661","0.9561062778611755","0.0","0.0","5903.0998830228955","5903.0998830228955","220.13817103606718","24.973816014708678","0.0","HBM","Function"
"28.0","Device","Unknown","call.609","4696.0","14976.276","3.189155877342419","14976.276","3.189155877342419","0.0019457530318131278","0.9580520308929886","0.0","0.0","5368.1515292586755","5368.1515292586755","199.56487554342658","25.05190700287982","0.0","HBM","Function"
"29.0","Device","Unknown","call.605","4696.0","14919.183","3.1769980834752984","14919.183","3.1769980834752984","0.0019383353748571993","0.9599903662678458","0.0","0.0","4263.164359603337","4263.164359603337","157.10251661277337","25.2725500074638","0.0","HBM","Function"
"30.0","Device","Unknown","call.607","4696.0","14909.929","3.1750274701873935","14909.929","3.1750274701873935","0.0019371330733934443","0.9619274993412393","0.0","0.0","4828.924834182644","4828.924834182644","178.82646695200603","25.148887554785713","0.0","HBM","Function"
"31.0","Device","Unknown","call.617","4696.0","14787.248","3.1489028960817715","14787.248","3.1489028960817715","0.0019211940690845046","0.9638486934103239","0.0","0.0","4017.308064894834","4017.308064894834","158.50421898019877","23.60448014629049","0.0","HBM","Function"
