"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"318.0","memcpy_post","16.0","0.0","256,1,1","1,1,1","100.0","False","False","","10.0","7.229","0.722","0.703","0.864"
"319.0","input_reduce_fusion_51","40.0","32.0","64,1,1","1,1,1","100.0","False","False","","5.0","7.134","1.426","1.408","1.44"
"320.0","input_concatenate_fusion_21","32.0","0.0","128,1,1","1,1,1","100.0","False","False","","1.0","7.133","7.133","7.133","7.133"
"321.0","loop_sqrt_fusion_2","38.0","0.0","128,1,1","16,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/vmap(jit(<lambda>))/sqrt:","1.0","6.973","6.973","6.973","6.973"
"322.0","wrapped_exponential","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","","6.0","6.846","1.141","1.024","1.471"
"323.0","loop_sqrt_fusion_1","38.0","0.0","128,1,1","32,1,1","100.0","False","False","","1.0","6.781","6.781","6.781","6.781"
"324.0","loop_pad_fusion_27","16.0","0.0","128,1,1","8,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/scatter:","8.0","6.747","0.843","0.831","0.863"
"325.0","input_reduce_fusion_45","28.0","0.0","256,1,1","16,1,1","100.0","False","False","","1.0","6.493","6.493","6.493","6.493"
"326.0","loop_clamp_fusion","22.0","0.0","128,1,1","256,1,1","100.0","False","False","","1.0","6.301","6.301","6.301","6.301"
"327.0","void syevj_parallel_order_set_kernel<512>(long, int*)","62.0","0.0","512,1,1","1,1,1","66.66670227050781","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/vmap(jit(eigh))/eigh:","2.0","6.046","3.023","0.736","5.31"
"328.0","loop_rsqrt_fusion","28.0","0.0","128,1,1","240,1,1","100.0","False","False","","1.0","6.014","6.014","6.014","6.014"
"329.0","input_add_broadcast_clamp_compare_minimum_multiply_reduce_select_fusion","51.0","0.0","8,1,1","1,1,1","12.5","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/min:","1.0","5.949","5.949","5.949","5.949"
"330.0","loop_exponential_multiply_fusion_5","18.0","0.0","1,1,1","1,1,1","1.5625","False","False","","5.0","5.438","1.087","1.056","1.119"
"331.0","loop_sqrt_fusion_3","40.0","0.0","128,1,1","3,1,1","100.0","False","False","","1.0","5.438","5.438","5.438","5.438"
"332.0","loop_add_divide_exponential_log_multiply_fusion","78.0","0.0","128,1,1","3,1,1","50.0","False","False","","1.0","5.342","5.342","5.342","5.342"
"333.0","input_concatenate_fusion_29","36.0","0.0","51,1,1","1,1,1","79.6875","False","False","","1.0","5.15","5.15","5.15","5.15"
"334.0","void row_rotate_batch_32x32_phase2<double>(long, int const*, int const*, long, double*, long, int*)","32.0","8448.0","32,32,1","1,1,1","66.66670227050781","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/vmap(jit(eigh))/eigh:","5.0","4.927","0.985","0.96","0.992"
"335.0","loop_multiply_pad_slice_fusion_5","48.0","0.0","128,1,1","4,1,1","83.33329772949219","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/scatter:","1.0","4.862","4.862","4.862","4.862"
"336.0","loop_multiply_fusion_22","31.0","0.0","128,1,1","318,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_source_function)/jit(compute_source_term_isw)/mul:","1.0","4.67","4.67","4.67","4.67"
"337.0","input_compare_reduce_fusion","40.0","64.0","256,1,1","80,1,1","100.0","False","False","","1.0","4.574","4.574","4.574","4.574"
"338.0","loop_multiply_fusion_23","31.0","0.0","128,1,1","315,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_theta_ell)/mul:","1.0","4.415","4.415","4.415","4.415"
"339.0","loop_clamp_divide_fusion","34.0","0.0","128,1,1","1,1,1","100.0","False","False","","1.0","4.382","4.382","4.382","4.382"
"340.0","loop_dynamic_update_slice_fusion_228","27.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","4.318","4.318","4.318","4.318"
"341.0","input_reduce_fusion_59","44.0","0.0","2,1,1","1,1,1","3.125","False","False","","1.0","4.255","4.255","4.255","4.255"
"342.0","loop_dynamic_update_slice_fusion_229","31.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","4.191","4.191","4.191","4.191"
"343.0","input_reduce_fusion_57","44.0","0.0","4,1,1","1,1,1","6.25","False","False","","1.0","4.19","4.19","4.19","4.19"
"344.0","loop_pad_fusion_27","16.0","0.0","128,1,1","8,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_visibility_functions)/scatter:","5.0","4.19","0.838","0.831","0.864"
"345.0","input_reduce_fusion_56","44.0","0.0","32,1,1","1,1,1","50.0","False","False","","1.0","4.127","4.127","4.127","4.127"
